Nama,Wilayah,Kategori,Rating,Status,lat,lng
Mie Baso Pangsit Kaka Miskam,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.904083940983308,107.63730078567114
Mie Bakso Margana M.M,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.9052261954957315,107.62078628920311
Bakso So'un & Mie Ayam Lodaya,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.925230430894621,107.62980186320618
Mie Ayam Aroma Bandung,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.92123425644211,107.60439814381377
Warung Bakso Solo Mas Yono,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.920902527530678,107.61010509819606
Mie Ayam&Bakso Mas Unyil,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.932609405240535,107.60939193905887
Mie Baso Bintang Avon (Ahmad Yani),Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.90638426855866,107.62995850885076
Mie Baso Akung,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.9191774191045905,107.60071121475491
Mie Baso Ramdhan,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.923646180270679,107.60365518498135
Mie Baso Batagor Isan,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.924477965445375,107.60766148594797
Mie Baso Exotic Abrag,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.932414167525873,107.61001760420451
Mie Ayam Kampung TJIONG LUNG,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.907963293328011,107.60391451962724
Warung bakso usrek,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.919570075048669,107.60262612731196
Mie Baso Bintang Avon,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.911923856216976,107.62940897988803
Bakso Tahu Sin Sien Hin,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.93688361506052,107.60294182112183
Bakso Rusuk Joss Bandung,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.934985672837858,107.62153230716366
Mie Baso Pangsit Miskam,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.905204902081281,107.621040286355
"Mie Baso ""Mas Joko""",Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.926744880396141,107.61248524085457
Mie Ayam Bakso Mas Budi,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.9217566103171775,107.60140313162364
Bihun Baso Jaya Rasa,Kota Bandung,Bakso dan Mie Ayam,4.4,Buka,-6.921260698025405,107.63049058903344
Ayam Bakar Juara,Kota Bandung,Ayam Bakar,4.6,Buka,-6.925470604027223,107.63270959634428
Ayam Bakar & Goreng Si Bungsu,Kota Bandung,Ayam Bakar,4.6,Buka,-6.907049228582325,107.6290531516498
Ayam Bakar Taliwang Bersaudara,Kota Bandung,Ayam Bakar,4.6,Buka,-6.897902577629476,107.6179633986219
Ayam Goreng & Bakar Pringgodani,Kota Bandung,Ayam Bakar,4.6,Buka,-6.922930330879641,107.61406777799759
Ayam Bakar Pedas H Deno,Kota Bandung,Ayam Bakar,4.6,Buka,-6.902860649566847,107.6164901736346
Ayam Bakar Pak Sobur,Kota Bandung,Ayam Bakar,4.6,Buka,-6.9240190363885805,107.6302424376952
Bebek dan Ayam Bakar Kalio Alfarizi,Kota Bandung,Ayam Bakar,4.6,Buka,-6.9303792715306045,107.60471025322332
Ayam Goreng SPG,Kota Bandung,Ayam Bakar,4.6,Buka,-6.906855301727809,107.62402196823788
Ayam Bakar Madu Mas Ian (ABM),Kota Bandung,Ayam Bakar,4.6,Buka,-6.903577151024252,107.62225460065288
Ayam Bakar Sariwangi,Kota Bandung,Ayam Bakar,4.6,Buka,-6.934906056131758,107.60106748834046
Ayamayaman Buka 24 Jam!,Kota Bandung,Ayam Bakar,4.6,Buka,-6.922827434080482,107.6298452878029
Ayam Panggang Merah Pak Gembrot,Kota Bandung,Ayam Bakar,4.6,Buka,-6.901472638535926,107.62087376944056
